id,general_name,certificate_owner,brand_owner,consumer_price,unit_price,irc,gtin,emergency_licence,license_expire_date,response_code
22,METOCLOPRAMIDE (AS HYDROCHLORIDE) INJECTION PARENTERAL 5 mg/1mL 2MILLILITER,دارو سازی اسوه,دارو سازی اسوه,5700000,57000,0088839835983374,06260174440727,,1405/12/21,200
23,"METOCLOPRAMIDE HYDROCHLORIDE SOLUTION, DROPS ORAL 4 mg/1mL 15MILLILITER",داروسازی امین,داروسازی امین,27000,27000,9010423232806140,,,,200
24,"METOCLOPRAMIDE HYDROCHLORIDE SOLUTION, DROPS ORAL 4 mg/1mL 15MILLILITER",الحاوی,الحاوی,-,27000,6860376691549898,06260171322767,,,200
25,"METOCLOPRAMIDE HYDROCHLORIDE SOLUTION, DROPS ORAL 4 mg/1mL 15MILLILITER",داروسازی زهراوی,داروسازی زهراوی,27000,27000,0861686551986589,06260155930179,,,200
26,"METOCLOPRAMIDE HYDROCHLORIDE SOLUTION, DROPS ORAL 4 mg/1mL 15MILLILITER",کارخانجات دارو پخش,کارخانجات دارو پخش,168100,168100,4293235749342094,06260132422758,,1402/08/18,200
27,"METOCLOPRAMIDE HYDROCHLORIDE SOLUTION, DROPS ORAL 4 mg/1mL 15MILLILITER",لابراتوارهای شهردارو,لابراتوارهای شهردارو,168100,168100,0246139877432913,06260195230413,,1406/10/25,200
28,"METOCLOPRAMIDE HYDROCHLORIDE SOLUTION, DROPS ORAL 4 mg/1mL 15MILLILITER",دارو سازی حکیم,دارو سازی حکیم,168100,168100,1047580719852985,06260155810112,,1403/12/24,200
29,"METOCLOPRAMIDE HYDROCHLORIDE SOLUTION, DROPS ORAL 4 mg/1mL 15MILLILITER",داروسازی خوارزمی,داروسازی خوارزمی,168100,168100,7050441903396432,06260160274534,,1396/12/27,200
30,"METOCLOPRAMIDE HYDROCHLORIDE SOLUTION, DROPS ORAL 4 mg/1mL 15MILLILITER",داروسازی امین,داروسازی امین,168100,168100,7638125203162842,06260154950031,,1402/07/23,200
31,"METOCLOPRAMIDE HYDROCHLORIDE SOLUTION, DROPS ORAL 4 mg/1mL 15MILLILITER",دارو سازی بهسا,دارو سازی بهسا,168100,168100,6579026557929733,06260157638110,,1406/07/17,200
32,METOCLOPRAMIDE HYDROCHLORIDE TABLET ORAL 10 mg,دارو سازی حکیم,دارو سازی حکیم,362000,3620,4876975349215707,06260155810143,,1404/08/12,200
33,METOCLOPRAMIDE HYDROCHLORIDE TABLET ORAL 10 mg,داروسازی زهراوی,داروسازی زهراوی,65000,650,6745613378623235,06260155970489,,,200
34,METOCLOPRAMIDE HYDROCHLORIDE TABLET ORAL 10 mg,داروسازی امین,داروسازی امین,362000,3620,2930095350222256,06260154920072,,1406/05/21,200
35,METOCLOPRAMIDE HYDROCHLORIDE TABLET ORAL 10 mg,داروسازی امین,داروسازی امین,-,650,6890053210786464,,,,200
36,METOPROLOL TARTRATE INJECTION PARENTERAL 1 mg/1mL 5MILLILITER,البرز دارو,البرز دارو,463000,92600,9766862921042308,06260152437534,,1405/12/21,200
37,METOPROLOL TARTRATE TABLET ORAL 50 mg,پور سینا,پور سینا,493000,4930,9185771999345429,06260161010223,,1403/01/24,200
38,METOPROLOL TARTRATE TABLET ORAL 50 mg,داروسازی تولید دارو,داروسازی تولید دارو,147900,4930,9314298249482682,06260803061194,,1403/03/12,200
39,METOPROLOL TARTRATE TABLET ORAL 50 mg,لابراتوارهای شهردارو,لابراتوارهای شهردارو,493000,4930,1478236312733885,06260195211832,,1402/11/23,200
40,METOPROLOL TARTRATE TABLET ORAL 50 mg,دارو سازی حکیم,دارو سازی حکیم,72000,720,5698144407773577,06260155819177,,,200
41,METOPROLOL TARTRATE TABLET ORAL 50 mg,لابراتوار داروسازی و بهداشتی شفا,لابراتوار داروسازی و بهداشتی شفا,-,720,3023426500243078,06260343631109,,,200
42,METOPROLOL TARTRATE TABLET ORAL 50 mg,البرز دارو,البرز دارو,147900,4930,8897368787825597,06260152410414,,1405/06/08,200
43,METOPROLOL TARTRATE TABLET ORAL 50 mg,پارس دارو,پارس دارو,147900,4930,9479067253849312,06260113700097,,1400/07/17,200
44,METOPROLOL TARTRATE TABLET ORAL 50 mg,سجاد داروی شرق,سجاد داروی شرق,147900,4930,5512889060165258,06260720900088,,1396/07/23,200
45,METOPROLOL TARTRATE TABLET ORAL 50 mg,روزدارو,روزدارو,147900,4930,7393913557368890,06260165038124,,1403/12/24,200
46,METOPROLOL TARTRATE TABLET ORAL 50 mg,داروسازی امین,داروسازی امین,72000,720,4452287809613067,06260154967091,,,200
47,METOPROLOL TARTRATE TABLET ORAL 50 mg,دارو سازی تهران دارو,دارو سازی تهران دارو,147900,4930,3536830969508916,06260153905568,,1406/09/08,200
48,"METRONIDAZOLE INJECTION, SOLUTION PARENTERAL 5 mg/1mL 100MILLILITER",فرآورده های تزریقی و دارویی ایران,فرآورده های تزریقی و دارویی ایران,-,-,6009846318031594,06260154100221,,,200
49,"METRONIDAZOLE INJECTION, SOLUTION PARENTERAL 5 mg/1mL 100MILLILITER",داروسازی ثامن,داروسازی ثامن,197600,197600,3828701469629234,06260183802097,,1406/11/01,200
50,"METRONIDAZOLE INJECTION, SOLUTION PARENTERAL 5 mg/1mL 100MILLILITER",داروسازی ثامن,داروسازی ثامن,228000,38000,9513747546688349,06260183850043,,,200
51,"METRONIDAZOLE INJECTION, SOLUTION PARENTERAL 5 mg/1mL 100MILLILITER",دایا طب,Baxter Pharmaceuticals India Private Limited(ex Claris Injectables Limited),60000,60000,8567180494530565,08902344290111,,1394/09/13,200
52,"METRONIDAZOLE INJECTION, SOLUTION PARENTERAL 5 mg/1mL 100MILLILITER",داروسازی شهید قاضی,داروسازی شهید قاضی,197600,197600,6243844414909251,06260156830225,,1398/12/26,200
53,METRONIDAZOLE TABLET ORAL 250 mg,پارس دارو,پارس دارو,-,1300,9189422101943233,,,,200
54,METRONIDAZOLE TABLET ORAL 250 mg,دارو سازی سها,دارو سازی سها,130000,1300,7272915496478081,06260154325013,,,200
55,METRONIDAZOLE TABLET ORAL 250 mg,کیش مدیفارم,کیش مدیفارم,-,1300,8732551235672903,06260509313085,,,200
56,METRONIDAZOLE TABLET ORAL 250 mg,داروسازی تهران شیمی,داروسازی تهران شیمی,130000,1300,3374052264466793,,,,200
57,METRONIDAZOLE TABLET ORAL 250 mg,داروسازی خوارزمی,داروسازی خوارزمی,910000,9100,3292015034832207,06260160210518,,1395/05/25,200
58,METRONIDAZOLE TABLET ORAL 250 mg,داروسازی دکتر عبیدی,داروسازی دکتر عبیدی,910000,9100,2262091388897974,06260154634610,,1397/03/18,200
59,METRONIDAZOLE TABLET ORAL 250 mg,صنعتی کیمیدارو,صنعتی کیمیدارو,130000,1300,0524585775098775,06260182914463,,,200
60,METRONIDAZOLE TABLET ORAL 250 mg,البرز دارو,البرز دارو,130000,1300,8586084255102040,,,,200
61,METRONIDAZOLE TABLET ORAL 250 mg,پارس دارو,پارس دارو,910000,9100,3825104777633472,06260113731015,,1406/09/22,200
62,METRONIDAZOLE TABLET ORAL 250 mg,داروسازی خوارزمی,داروسازی خوارزمی,-,1300,3177694173695660,,,,200
63,METRONIDAZOLE TABLET ORAL 250 mg,داروسازی تهران شیمی,داروسازی تهران شیمی,1014000,10140,9669827919680408,06260136663751,,1405/08/09,200
64,METRONIDAZOLE TABLET ORAL 250 mg,داروسازی امین,داروسازی امین,910000,9100,5531591399815520,06260154920034,,1402/08/11,200
65,METRONIDAZOLE TABLET ORAL 250 mg,داروسازی امین,داروسازی امین,-,1300,1234339238342579,,,,200
66,METRONIDAZOLE TABLET ORAL 250 mg,البرز دارو,البرز دارو,910000,9100,7851754731393198,06260152410742,,1406/08/16,200
67,METRONIDAZOLE GEL TOPICAL 0.75 % 30GRAM,کارخانجات دارو پخش,کارخانجات دارو پخش,98100,98100,3566350212271756,06260132415279,,1402/10/04,200
68,METRONIDAZOLE GEL TOPICAL 0.75 % 30GRAM,کارخانجات دارو پخش,کارخانجات دارو پخش,28000,28000,4497247956965646,,,,200
69,METRONIDAZOLE GEL TOPICAL 0.75 % 30GRAM,پارس دارو,پارس دارو,-,28000,7041171445589891,,,,200
70,METRONIDAZOLE GEL TOPICAL 0.75 % 30GRAM,سبحان دارو,سبحان دارو,28000,28000,9191428970298765,06260538423663,,1385/12/27,200
71,METRONIDAZOLE GEL TOPICAL 0.75 % 30GRAM,داروسازی تهران شیمی,داروسازی تهران شیمی,-,28000,9600585980206648,,,,200
72,METRONIDAZOLE GEL TOPICAL 0.75 % 30GRAM,پارس دارو,پارس دارو,98100,98100,6435098600764560,06260113759019,,1406/09/15,200
73,METRONIDAZOLE GEL TOPICAL 0.75 % 30GRAM,کیش مدیفارم,کیش مدیفارم,28000,28000,9577380572438652,06260509301419,,,200
74,METRONIDAZOLE GEL VAGINAL 0.75 % 70GRAM,کیش مدیفارم,کیش مدیفارم,304500,304500,7588911939829120,06260509301426,,1404/08/16,200
75,METRONIDAZOLE GEL VAGINAL 0.75 % 70GRAM,پارس دارو,پارس دارو,304500,304500,6009593849859847,06260113759118,,1406/07/24,200
76,METRONIDAZOLE GEL VAGINAL 0.75 % 70GRAM,دارو سازی بهوزان,دارو سازی بهوزان,304500,304500,7712456128138988,06260160523052,,1404/04/28,200
77,METRONIDAZOLE GEL VAGINAL 0.75 % 70GRAM,پارس دارو,پارس دارو,-,52000,8875489002933028,,,,200
78,METRONIDAZOLE GEL VAGINAL 0.75 % 70GRAM,داروسازی تهران شیمی,داروسازی تهران شیمی,304500,304500,0464808875746411,06260136670193,,1405/12/07,200
79,METRONIDAZOLE SUPPOSITORY VAGINAL 500 mg,ایران ناژو,ایران ناژو,213750,21375,1797347947152379,06260094352735,,1402/10/01,200
80,METRONIDAZOLE TABLET VAGINAL 500 mg,داروسازی تهران شیمی,داروسازی تهران شیمی,-,4300,3210192995371264,06260136660262,,,200
81,METRONIDAZOLE TABLET VAGINAL 500 mg,پارس دارو,پارس دارو,171000,17100,2447905688997284,06260113760299,,1403/02/27,200
82,METRONIDAZOLE TABLET VAGINAL 500 mg,داروسازی تهران شیمی,داروسازی تهران شیمی,-,4300,6750649690944925,,,,200
83,METRONIDAZOLE (AS BENZOATE) SUSPENSION ORAL 125 mg/5mL 120MILLILITER,داروسازی تهران شیمی,داروسازی تهران شیمی,327500,327500,1440927786585146,06260136680154,,1406/08/16,200
84,METRONIDAZOLE (AS BENZOATE) SUSPENSION ORAL 125 mg/5mL 120MILLILITER,البرز دارو,البرز دارو,327500,327500,3190391530362777,06260152420291,,1402/08/11,200
85,METRONIDAZOLE (AS BENZOATE) SUSPENSION ORAL 125 mg/5mL 120MILLILITER,داروسازی خوارزمی,داروسازی خوارزمی,-,78000,5239606187111340,06260160215520,,,200
86,METRONIDAZOLE (AS BENZOATE) SUSPENSION ORAL 125 mg/5mL 120MILLILITER,داروسازی تهران شیمی,داروسازی تهران شیمی,78000,78000,9413304347102205,,,,200
87,METRONIDAZOLE (AS BENZOATE) SUSPENSION ORAL 125 mg/5mL 120MILLILITER,داروسازی پاک دارو,داروسازی پاک دارو,-,78000,1225668594040614,,,,200
88,METRONIDAZOLE (AS BENZOATE) SUSPENSION ORAL 125 mg/5mL 120MILLILITER,داروسازی پاک دارو,داروسازی پاک دارو,-,78000,1739592991324411,06260158500157,,,200
89,METRONIDAZOLE (AS BENZOATE) SUSPENSION ORAL 125 mg/5mL 120MILLILITER,دارو سازی سها,دارو سازی سها,327500,327500,7262831699292103,06260154325006,,1400/10/19,200
90,MICONAZOLE NITRATE CREAM TOPICAL 2 % 30GRAM,کیش مدیفارم,کیش مدیفارم,32000,32000,8953900707232109,06260509301396,,,200
91,MICONAZOLE NITRATE CREAM TOPICAL 2 % 30GRAM,دارو سازی بهوزان,دارو سازی بهوزان,32000,32000,1197457854887260,,,,200
92,MICONAZOLE NITRATE CREAM TOPICAL 2 % 30GRAM,دارو سازی بهوزان,دارو سازی بهوزان,140100,140100,1921556089997207,06260160520617,,1404/07/18,200
93,MIDAZOLAM INJECTION PARENTERAL 5 mg/1mL 1MILLILITER,صنعتی کیمیدارو,صنعتی کیمیدارو,167000,16700,5306314947368767,06260182921010,,1397/06/01,200
94,MIDAZOLAM INJECTION PARENTERAL 5 mg/1mL 1MILLILITER,داروسازی تهران شیمی,داروسازی تهران شیمی,378500,75700,2712318342406297,06260136650386,,1404/10/25,200
95,MIDAZOLAM INJECTION PARENTERAL 5 mg/1mL 1MILLILITER,داروسازی ابوریحان,داروسازی ابوریحان,757000,75700,9639460441466545,06260164619331,,1404/06/13,200
96,MIDAZOLAM INJECTION PARENTERAL 5 mg/1mL 1MILLILITER,داروسازی اکسیر,داروسازی اکسیر,75700,75700,1182950183961117,06260153010828,,1403/11/05,200
97,MIDAZOLAM INJECTION PARENTERAL 5 mg/1mL 1MILLILITER,کارخانجات دارو پخش,کارخانجات دارو پخش,757000,75700,3704427881909478,06260132420389,,1404/04/14,200
98,SODIUM CHLORIDE SOLUTION IRRIGATION 0.9 % 1000MILLILITER,کارخانجات دارو پخش,کارخانجات دارو پخش,238100,238100,6467210820785691,06260132414401,,,200
99,SODIUM CHLORIDE SOLUTION IRRIGATION 0.9 % 500MILLILITER,شیراز سرم,شیراز سرم,31000,31000,0541148771110809,06262553400032,,,200
100,SODIUM CHLORIDE SOLUTION IRRIGATION 0.9 % 3LITER,داروسازی ثامن,داروسازی ثامن,520000,520000,3796542729574963,06260183802110,,,200
101,SODIUM CHLORIDE SOLUTION IRRIGATION 0.9 % 1000MILLILITER,شیراز سرم,شیراز سرم,80000,80000,3218563532053070,06262553400049,,,200
102,"SODIUM CHLORIDE INJECTION, SOLUTION PARENTERAL 0.9 % 1000MILLILITER",داروسازی شهید قاضی,داروسازی شهید قاضی,35000,35000,1985891152937733,06260156810074,,,200
103,SODIUM CHLORIDE SOLUTION IRRIGATION 0.9 % 500MILLILITER,کارخانجات دارو پخش,کارخانجات دارو پخش,31000,31000,5085672154304167,06260132415187,,,200
104,SODIUM CHLORIDE SOLUTION IRRIGATION 0.9 % 500MILLILITER,داروسازی ثامن,داروسازی ثامن,199600,199600,7480206706589060,06260183800079,,1406/07/23,200
105,SODIUM CHLORIDE SOLUTION IRRIGATION 0.9 % 1000MILLILITER,فرآورده های تزریقی و دارویی ایران,فرآورده های تزریقی و دارویی ایران,306700,306700,5788997042635626,06260154110930,,1399/10/13,200
106,SODIUM CHLORIDE SOLUTION IRRIGATION 0.9 % 1000MILLILITER,داروسازی ثامن,داروسازی ثامن,306700,306700,2616784315794897,06260183800147,,1406/07/23,200
107,SODIUM CHLORIDE SOLUTION IRRIGATION 0.9 % 2LITER,داروسازی ثامن,داروسازی ثامن,523900,523900,5395758000112891,06260183820145,,1406/09/28,200
108,SODIUM CHLORIDE SOLUTION IRRIGATION 0.9 % 500MILLILITER,فرآورده های تزریقی و دارویی ایران,فرآورده های تزریقی و دارویی ایران,199600,199600,3833607314621834,06260154100016,,1399/10/13,200
109,SODIUM CHLORIDE SOLUTION IRRIGATION 0.9 % 500MILLILITER,داروسازی شهید قاضی,داروسازی شهید قاضی,199600,199600,2087526581793306,06260156820233,,1406/08/30,200
110,SODIUM CHLORIDE SOLUTION IRRIGATION 0.9 % 250MILLILITER,فرآورده های تزریقی و دارویی ایران,فرآورده های تزریقی و دارویی ایران,-,-,6519622399728880,06260154100146,,,200
111,SODIUM CHLORIDE SOLUTION IRRIGATION 0.9 % 3LITER,داروسازی ثامن,داروسازی ثامن,746600,746600,1123355275794889,06260183802110,,1402/11/14,200
112,"SODIUM POLYSTYRENE SULFONATE POWDER, FOR SUSPENSION ORAL 454 g",داروسازی مداوا,داروسازی مداوا,600000,600000,1443341755881317,06260154820358,,1398/08/20,200
113,"SODIUM POLYSTYRENE SULFONATE POWDER, FOR SUSPENSION ORAL 454 g",داروسازی مداوا,داروسازی مداوا,-,600000,8233816276925497,,,,200
114,"SOMATROPIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 4 [iU]",داروسازی ثامن,داروسازی ثامن,350000,350000,1082136377571830,06260183830205,,,200
115,"SOMATROPIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 4 [iU]",لابراتوار داروسازی و بهداشتی شفا,لابراتوار داروسازی و بهداشتی شفا,-,350000,8947856078480785,06260343680053,,,200
116,"SOMATROPIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 4 [iU]",داروسازی اکسیر,Novo Nordisk,400000,400000,2811086562548518,06260153022975,,1395/12/20,200
117,SORBITOL POWDER ORAL 5 g,پور سینا,پور سینا,478000,23900,0937601479304826,06260161060488,,1406/02/30,200
118,SORBITOL POWDER ORAL 5 g,داروسازی مداوا,داروسازی مداوا,-,5300,9197717517309424,,,,200
119,SORBITOL POWDER ORAL 5 g,پور سینا,پور سینا,106000,5300,1194119751400010,,,,200
120,SORBITOL POWDER ORAL 5 g,روزدارو,روزدارو,-,5300,1168410884274309,06260165050911,,,200
121,SORBITOL POWDER ORAL 5 g,لابراتوار داروسازی و بهداشتی شفا,لابراتوار داروسازی و بهداشتی شفا,-,5300,2581224349458390,06260343665159,,,200
122,SORBITOL POWDER ORAL 5 g,داروسازی مداوا,داروسازی مداوا,357180,17859,4232204879412970,06260154820099,,1395/08/09,200
123,SORBITOL POWDER ORAL 5 g,ایران دارو,ایران دارو,478000,23900,7990612944157979,06260155400528,,1404/08/28,200
124,SORBITOL POWDER ORAL 5 g,کارخانجات دارو پخش,کارخانجات دارو پخش,-,5300,8409946784160483,,,,200
125,SORBITOL POWDER ORAL 5 g,دارو سازی اسوه,دارو سازی اسوه,-,5300,9681694499219338,06260174430025,,,200
126,SORBITOL POWDER ORAL 5 g,فارماشیمی,فارماشیمی,478000,23900,5093990798026314,06260286522014,,1404/10/25,200
127,SORBITOL POWDER ORAL 5 g,داروئی و بهداشتی لقمان,داروئی و بهداشتی لقمان,-,5300,4412077062746781,,,,200
128,SORBITOL POWDER ORAL 5 g,فارماشیمی,فارماشیمی,478000,23900,7183902894317335,,,,200
129,SORBITOL POWDER ORAL 5 g,داروئی و بهداشتی لقمان,داروئی و بهداشتی لقمان,478000,23900,3803786697489961,06261207051125,,1403/09/25,200
130,SOTALOL HYDROCHLORIDE TABLET ORAL 40 mg,داروسازی ابوریحان,داروسازی ابوریحان,-,600,8903954744626632,06260164656473,,,200
131,SOTALOL HYDROCHLORIDE TABLET ORAL 40 mg,داروسازی دکتر عبیدی,داروسازی دکتر عبیدی,30000,600,5221200613125840,06260154634511,,1389/12/28,200
132,SOTALOL HYDROCHLORIDE TABLET ORAL 40 mg,لابراتوارهای شهردارو,لابراتوارهای شهردارو,-,-,2441202107519358,06260195211818,,,200
133,SOTALOL HYDROCHLORIDE TABLET ORAL 40 mg,صنعتی کیمیدارو,صنعتی کیمیدارو,-,600,4637794177958780,,,,200
134,SOTALOL HYDROCHLORIDE TABLET ORAL 40 mg,مهردارو,مهردارو,0,0,8249968608048753,06260166105429,,1390/08/05,200
135,SOTALOL HYDROCHLORIDE TABLET ORAL 80 mg,صنعتی کیمیدارو,صنعتی کیمیدارو,265200,8840,5214322090128422,06260182911158,,1403/07/16,200
136,SOTALOL HYDROCHLORIDE TABLET ORAL 80 mg,دارو سازی حکیم,دارو سازی حکیم,884000,8840,1168241002091075,06260155800496,,1404/06/06,200
137,SOTALOL HYDROCHLORIDE TABLET ORAL 80 mg,مهردارو,مهردارو,265200,8840,4571442401869673,06260166105436,,1390/12/16,200
138,SOTALOL HYDROCHLORIDE TABLET ORAL 80 mg,داروسازی دکتر عبیدی,داروسازی دکتر عبیدی,90000,1800,0208093789680049,06260154634566,,1390/04/18,200
139,SOTALOL HYDROCHLORIDE TABLET ORAL 80 mg,داروسازی ابوریحان,داروسازی ابوریحان,-,1800,4026633905670935,06260164656497,,,200
140,SOTALOL HYDROCHLORIDE TABLET ORAL 80 mg,لابراتوارهای شهردارو,لابراتوارهای شهردارو,-,1800,9269836393586303,06260195211825,,,200
141,PENICILLIN V (AS POTASSIUM) TABLET ORAL 500 mg,داروسازی تهران شیمی,داروسازی تهران شیمی,-,3000,6041781557148423,,,,200
142,SPIRONOLACTONE TABLET ORAL 100 mg,پارس دارو,پارس دارو,-,5270,1234826669100203,,,,200
143,SPIRONOLACTONE TABLET ORAL 100 mg,پارس دارو,پارس دارو,2920000,29200,0921611507981561,06260113730810,,1404/07/24,200
144,SPIRONOLACTONE TABLET ORAL 100 mg,ایران هورمون,ایران هورمون,2920000,29200,3041660114269450,06260155200296,,1401/06/31,200
145,SPIRONOLACTONE TABLET ORAL 100 mg,داروئی ارایشی وبهداشتی مینو,داروئی ارایشی وبهداشتی مینو,2920000,29200,9506374439062670,06260764902536,,1404/08/01,200
146,SPIRONOLACTONE TABLET ORAL 25 mg,پارس دارو,پارس دارو,913000,9130,1515701949093130,06260113731114,,1404/07/24,200
147,SPIRONOLACTONE TABLET ORAL 25 mg,داروئی ارایشی وبهداشتی مینو,داروئی ارایشی وبهداشتی مینو,913000,9130,1660498589111381,06260764900006,,1404/08/01,200
148,SPIRONOLACTONE TABLET ORAL 25 mg,ایران هورمون,ایران هورمون,913000,9130,9950380526283568,06260155200302,,1401/06/31,200
149,SPIRONOLACTONE TABLET ORAL 25 mg,داروسازی ابوریحان,داروسازی ابوریحان,180000,1800,0154616117745880,06260164655445,,,200
150,SPIRONOLACTONE TABLET ORAL 25 mg,داروسازی ابوریحان,داروسازی ابوریحان,913000,9130,9208888474974857,06260164655445,,1403/10/21,200
151,SPIRONOLACTONE TABLET ORAL 25 mg,پارس دارو,پارس دارو,-,1800,3923390313602743,,,,200
152,"STREPTOMYCIN (AS SULFATE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g",داروسازی جابرابن حیان,داروسازی جابرابن حیان,731125,29245,6077629817100816,06260155754461,,1398/11/28,200
153,"STREPTOMYCIN (AS SULFATE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g",داروسازی جابرابن حیان,داروسازی جابرابن حیان,29245,29245,7865470803508716,06260155754461,,,200
154,SUCCINYLCHOLINE CHLORIDE INJECTION PARENTERAL 20 mg/1mL 5MILLILITER,داروسازی ابوریحان,داروسازی ابوریحان,469010,93802,6381130564694433,06260164603231,,1404/12/01,200
155,SUCCINYLCHOLINE CHLORIDE INJECTION PARENTERAL 20 mg/1mL,داروسازی اکسیر,داروسازی اکسیر,-,19000,4616479932118055,06260153000300,,,200
156,SUCCINYLCHOLINE CHLORIDE INJECTION PARENTERAL 50 mg/1mL 10MILLILITER,داروسازی کاسپین تأمین,داروسازی کاسپین تأمین,1700905,340181,2677387434928619,06260157700169,,1404/07/27,200
157,SUCRALFATE TABLET ORAL 1 g,صنعتی کیمیدارو,صنعتی کیمیدارو,65000,650,0931388738215169,06260182911189,,,200
158,SUCRALFATE TABLET ORAL 500 mg,دارو سازی سها,دارو سازی سها,-,850,0664752594573759,,,,200
159,SUCRALFATE TABLET ORAL 500 mg,صنعتی کیمیدارو,صنعتی کیمیدارو,725000,7250,6758255788310255,06260182910250,,1404/04/26,200
160,SUCRALFATE TABLET ORAL 500 mg,دارو سازی سها,دارو سازی سها,725000,7250,7540807642097571,06260154312136,,1403/05/07,200
161,SUCRALFATE TABLET ORAL 500 mg,صنعتی کیمیدارو,صنعتی کیمیدارو,-,850,1653903257777509,,,,200
